"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","9","","28","81","","0"
"0","Customer","0","CustomerTestCases/smk.spec.js","3","0","1.1 - Postcode Search","0"
"0","Customer","0","CustomerTestCases/smk.spec.js","2","0","Add & remove image after placing an order","0"
"0","Customer","0","CustomerTestCases/smk.spec.js","3","0","Customer message verification @chat","0"
"0","Customer","1","CustomerTestCases/smk.spec.js","2","0","Customer and Admin conversation verification @chat","0"
"0","Customer","0","CustomerTestCases/smk.spec.js","3","0","Verify search existing customer message functionality @chat","0"
"0","Customer","0","CustomerTestCases/smk.spec.js","2","0","Verify Payment History","0"
"0","tests","0","seed.spec.js","1","0","seed","0"
